Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	135453	1.81844906687e-06	2.78365915824e-06	1.18120960116e-07	1.83549049354e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	175575	4.2535708396e-06	3.04003524945e-06	2.76299117003e-07	2.00453988192e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	549950	4.1124286287e-05	5.28067488456e-05	1.55868215829e-05	1.70026327528e-05
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella	4313987	0.0	2.38849642548e-06	0.0	1.57492790374e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	288557	3.43581734239e-06	0.0	3.15762091911e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas	1029036	0.0	2.98393788052e-06	0.0	1.96755037224e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	4434334	0.00868017872921	0.00415091652495	0.00206623986359	0.00133521303366
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	4435065	1.09760609597e-05	5.74293418506e-06	1.95317604353e-06	8.20370980943e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	312260	1.90273635489e-05	3.38775959515e-05	4.55291437195e-06	9.86368638589e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	353748	2.47452378568e-06	0.0	1.60737592665e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	291445	2.94755305344e-06	0.0	1.91464145467e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	196370	2.36142128204e-06	0.0	1.53390795571e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	197992	0.0	2.22944177014e-06	0.0	1.47005036981e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	197991	7.76946579305e-05	6.57737539827e-05	4.33406452757e-05	3.40713361226e-05
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus	151814	0.0	1.53487168016e-06	0.0	1.01206441507e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	3641385	4.17876565082e-06	3.9726855408e-06	3.83530546416e-07	2.61951127254e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4324038	3.01709002488e-06	6.49618404133e-06	2.75389337898e-07	5.88967778528e-07
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter	4442910	0.0	1.80032909883e-06	0.0	1.18710185346e-07
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae	267824	0.0	2.61824930198e-06	0.0	1.72642246421e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae	586453	0.000168772793435	0.000108804484623	4.9093260372e-05	3.11848257203e-05
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus	2038560	0.0	3.27477061289e-06	0.0	2.15931979699e-07
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales	614357	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	187319	0.0	2.7915894739e-06	0.0	1.84071958883e-07
